ID,QUESTION,CLASS,ANSWER,Answerfirstsent,AnswerAdjectives,AnswerNouns,AnswerEntities,QuestionsAdjectives,QuestionsNouns,QuestionsEntities
10,What is an artificial pancreas?,informationanddefinition,"The system is still being tested for safety and effectiveness and as of 2016 home and clinical trials of the system have been completed in participants with both type 1 diabetes and type 2 diabetes. Research is being conducted worldwide and each team’s expertise to their respective products is helping to speed up the process of devices coming to market.""",the system is still being tested for safety and effectiveness and as of 2016 home and clinical trials of the system have been completed in participants with both type 1 diabetes and type 2 diabetes.,['clinical'],"['system', 'safety', 'effectiveness', 'home', 'trials', 'system', 'participants', 'type', 'diabetes', 'type', 'diabetes']","['system', 'safety', 'effectiveness', 'system', 'trials', 'home', 'diabetes', 'diabetes', 'participants']",['artificial'],['pancreas'],['pancreas']
11,What is an Autoimmune Disease?,informationanddefinition,"Autoimmune disease refers to illness or disorder that occurs when healthy tissue (cells) get destroyed by the body’s own immune system. The term autoimmune disease is one that many people with diabetes - in particular those with type 1 diabetes - will have come across or be familiar with. In the case of type 1 diabetes the disease-fighting system mistakes healthy cells in the pancreas for foreign harmful invaders and attacks them leaving the body unable to produce its own insulin and keep levels of blood glucose under control. There are more than 80 different types of autoimmune disease from multiple sclerosis and type 1 diabetes to coeliac disease and rheumatoid arthritis. The immune system is the body’s protection against harmful substances such as bacteria viruses and toxins all of which contain harmful antigens. To counter this the immune system produces and sends antibodies (special proteins) to identify destroy these antigens. However in some cases the immune system cannot distinguish between healthy harmless tissue and antigens and as a result it attacks and destroys normal tissue (in people with diabetes the cells mistakenly targeted are the insulin-producing beta cells in the pancreas). This autoimmune reaction (or ‘attack’) is what triggers the development of an autoimmune disease.""",autoimmune disease refers to illness or disorder that occurs when healthy tissue (cells) get destroyed by the body’s own immune system.,"['autoimmune', 'healthy', 'own', 'immune']","['disease', 'illness', 'disorder', 'tissue', 'cells', 'body', 'system']","['illness', 'autoimmune disease', 'tissue', 'disorder', 'cells', 'body', 'immune system']",['Autoimmune'],['Disease'],['Autoimmune Disease']
12,What causes the immune system to act this way?,cause,"The exact cause of autoimmune disease is unknown although there are many theories about what causes it to malfunction including: Bacteria or virus Drugs Chemical irritants Environmental irritants Studies have shown that autoimmune disorders often run in families and are much more common in women.""","the exact cause of autoimmune disease is unknown although there are many theories about what causes it to malfunction including: bacteria or virus drugs chemical irritants environmental irritants studies have shown that autoimmune disorders often run in families and are much more common in women.""","['exact', 'autoimmune', 'unknown', 'many', 'chemical', 'environmental', 'autoimmune', 'common']","['cause', 'disease', 'theories', 'malfunction', 'bacteria', 'virus', 'drugs', 'irritants', 'irritants', 'studies', 'disorders', 'families', 'women.']","['cause', 'autoimmune disease', 'irritants', 'malfunction', 'bacteria', 'theories', 'virus drugs', 'irritants studies', 'families', 'autoimmune disorders']",['immune'],"['system', 'way']","['immune system', 'way']"
13,What are the most common autoimmune diseases?,informationanddefinition,"Of the 80-plus autoimmune disorders the most common ones include: Addison’s disease - immune system attacks the adrenal gland disrupting production of steroid hormones aldosterone and cortisol. Coeliac disease - autoimmune attack on substances found inside gluten damages the surface of the small bowel disrupting the body’s ability to take in essential nutrients from food. Graves’ disease - the small thyroid gland is attacked by the immune system leading to an overproduction of the thyroid hormones (hyperthyroidism). Hashimoto’s thyroiditis or Hashimoto’s disease - similar to Graves’ disease but this time damage to the thyroid gland lead to an underactive thyroid gland (hypothyroidism). Multiple sclerosis - myelin sheaths which protect the nerve fibres carrying messages to and from the brain are targeted by the immune system causing behind scarring (known as sclerosis). Reactive arthritis - immune system is tricked into thinking a previous infection is still present and attacks healthy tissue causing it to become inflamed. Rheumatoid arthritis - cells that line your joints are targeted by the autoimmune reaction causing joints and surrounding tissues to become swollen stiff and painful. Systemic lupus erythematosus (SLE) - immune system targets healthy tissue causing inflammation of the skin and joints and can affect internal organs. Type 1 diabetes - immune system destroys cells within the pancreas that produce the blood sugar-regulating hormone insulin.""",of the 80-plus autoimmune disorders the most common ones include: addison’s disease - immune system attacks the adrenal gland disrupting production of steroid hormones aldosterone and cortisol.,"['plus', 'autoimmune', 'common', 'immune', 'adrenal']","['disorders', 'ones', 'addison', 'disease', 'system', 'gland', 'production', 'steroid', 'hormones', 'aldosterone', 'cortisol']","['autoimmune disorders', 'ones', 'immune system', 'steroid hormones aldosterone', 'addison', 'cortisol', 'gland', 'production']","['common', 'autoimmune']",['diseases'],['autoimmune diseases']
14,What are the symptoms of autoimmune diesease?,manifestation,"The symptoms of autoimmune disease vary between types but the common indicators are fatigue fever general malaise (feeling ill) joint pain and skin rash. Symptoms worsen during flare-ups and reduce during remission. The common and most noticeable signs of type 1 diabetes are: Increased thirst (polydipsia) Frequent/increased urination (polyuria) Extreme tiredness (fatigue) Sudden or unexplained weight loss""",the symptoms of autoimmune disease vary between types but the common indicators are fatigue fever general malaise (feeling ill) joint pain and skin rash.,"['autoimmune', 'common', 'general', 'ill', 'joint']","['symptoms', 'disease', 'types', 'indicators', 'fatigue', 'fever', 'malaise', 'pain', 'skin', 'rash']","['symptoms', 'autoimmune disease', 'fatigue fever general malaise', 'types', 'indicators', 'joint pain', 'skin rash']",['autoimmune'],"['symptoms', 'diesease']","['symptoms', 'autoimmune diesease']"
15,what is Binge Eating Disorders?,informationanddefinition,Binge eating is recognised as an eating disorder in which people feel compelled to overeat and feel powerless to be able to control their eating pattern. Binge eating may result from psychological reasons but can also result from rises and falls in blood glucose levels from eating food with high carbohydrate content.,binge eating is recognised as an eating disorder in which people feel compelled to overeat and feel powerless to be able to control their eating pattern.,"['compelled', 'powerless', 'able']","['binge', 'eating', 'eating', 'disorder', 'people', 'eating', 'pattern']","['binge eating', 'people', 'eating disorder', 'eating pattern']",[],"['Binge', 'Eating', 'Disorders']",['Binge Eating Disorders']
16,What counts as binge eating?,informationanddefinition,"If you eat large amounts of food in a short period of time without feeling you are able to control your eating this is a sign of binge eating. Compulsive eating such as constantly needing to snack on high calorie foods between meal times is also a sign of binge eating.""",if you eat large amounts of food in a short period of time without feeling you are able to control your eating this is a sign of binge eating.,"['large', 'short', 'able']","['amounts', 'food', 'period', 'time', 'eating', 'sign', 'binge', 'eating']","['food', 'amounts', 'sign', 'binge eating', 'eating']",[],"['binge', 'eating']",['binge eating']
17,What can cause binge eating to take place?,cause,"There are a number of psychological reasons which can trigger binge eating. The NHS state that around 50% of people that binge eat have had depression at some point in their life. Negative feelings including being stressed anxious sad helpless guilty or bored can cause people to eat as a conscious or unconscious way of momentarily blocking out the negative emotion. In some cases people may eat to amplify the negative feelings. Binge eating may also occur in people trying to lose weight through methods such as greatly restricted calorie content or missing meals which can lead to intense hunger and feeling a need to binge eat. It is common for binge eating to lead to other negative feelings such as guilt regret or further loss of control shortly after eating which can trigger a vicious circle of continued binge eating.""",there are a number of psychological reasons which can trigger binge eating.,['psychological'],"['number', 'reasons', 'binge', 'eating']","['reasons', 'number', 'binge eating']",[],"['binge', 'eating', 'place']","['binge eating', 'place']"
18,How can hunger follow after recently eating?,informationanddefinition,"It is not unusual to experience hunger soon after eating snacks or meals with particularly fast acting carbohydrate content. Typical examples of foods with quickly absorbed carbohydrate include: Sugary foods Potato based foods Refined carbohydrates such as white bread white pasta and white rice When we eat quickly absorbed sources of carbohydrate our blood glucose levels will initially rise rapidly and should trigger our pancreas to release insulin. This usually presents problems for people with diabetes. In type 2 diabetes the body doesn’t respond as well as it should to insulin and so it takes longer for the body to produce sufficient insulin to cope with the rise in blood sugar. People with type 1 diabetes will inject insulin to help the body cope with the increase in blood sugar levels but when we eat fast acting carbohydrate it can take more than 2 hours for enough insulin to be absorbed to adequately cope with the increase in blood glucose levels. When our blood sugar levels rise to high levels and we don’t have sufficient insulin in our blood to cope it can often cause us to feel both tired and hungry and can therefore make us crave more food which can lead to vicious circle forming. Another reason for feeling intense hunger after consuming too much quick acting carbohydrate is that once our insulin has caught up the insulin may bring our blood glucose levels too low which frequently triggers strong feelings of hunger.""",it is not unusual to experience hunger soon after eating snacks or meals with particularly fast acting carbohydrate content.,['unusual'],"['hunger', 'snacks', 'meals', 'carbohydrate', 'content']","['snacks', 'hunger', 'meals', 'carbohydrate content']",[],['hunger'],['hunger']
19,Are there any body parts I shouldn’t get pierced?,informationanddefinition,"As someone with diabetes you should avoid areas with poor circulation such as: Ankles Shins Buttocks Or your favoured areas for insulin injection/shots. You should also choose a licensed or accredited body piercer to carry out the work and let them know about your condition so that they can tailor the procedure and aftercare tips to your needs.""",as someone with diabetes you should avoid areas with poor circulation such as: ankles shins buttocks or your favoured areas for insulin injection/shots.,"['poor', 'such', 'favoured']","['someone', 'diabetes', 'areas', 'circulation', 'ankles', 'shins', 'buttocks', 'areas', 'insulin', 'injection', 'shots']","['someone', 'diabetes', 'areas', 'circulation', 'buttocks', 'ankles', 'insulin injection', 'shots', 'areas']",[],"['body', 'parts']",['body parts']
20,How could bone marrow transplants treat type 1 diabetes?,management,"Type 1 diabetes results from the body’s immune system targeting and killing its own beta cells which produce insulin in the pancreas.Even if people receive islet cell transplants their immune system will still try to kill off the transplanted cells so transplant recipients need to take immunosuppressive drugs to prevent or delay their transplanted cells being destroyed.Bone marrow transplantation is an attempt to reset the body’s immune system to no longer attack the pancreas’s insulin producing cells.""","type 1 diabetes results from the body’s immune system targeting and killing its own beta cells which produce insulin in the pancreas.even if people receive islet cell transplants their immune system will still try to kill off the transplanted cells so transplant recipients need to take immunosuppressive drugs to prevent or delay their transplanted cells being destroyed.bone marrow transplantation is an attempt to reset the body’s immune system to no longer attack the pancreas’s insulin producing cells.""","['immune', 'own', 'immune', 'immunosuppressive', 'immune']","['type', 'diabetes', 'results', 'body', 'system', 'beta', 'cells', 'insulin', 'pancreas.', 'people', 'islet', 'cell', 'transplants', 'system', 'cells', 'transplant', 'recipients', 'drugs', 'cells', 'bone', 'marrow', 'transplantation', 'attempt', 'body', 'system', 'pancreas', 'insulin', 'cells.']","['body', 'immune system', 'type 1 diabetes results', 'beta cells', 'insulin', 'people', 'transplant recipients', 'cells', 'immune system', 'islet cell transplants', 'drugs', 'pancreas.', 'cells.', 'attempt', 'system', 'body', 'insulin', 'pancreas', 'cells', 'bone marrow transplantation']",[],"['bone', 'marrow', 'transplants', 'type', 'diabetes']","['bone marrow transplants', 'type 1 diabetes']"
21,How is a bone marrow transplant carried out?,informationanddefinition,"The process detailed follows that used by Dr Julio Voltarelli. The first stage was to remove a sample of stem cells from the patient’s existing bone marrow. The next stage involved the patients receiving a high dosage of immunosuppressive drugs to destroy the immune system in the body. With no immune system to defend the body patients were kept in isolation away from sources of infection. The bone marrow stem cells were then transplanted back within the bone marrow.""",the process detailed follows that used by dr julio voltarelli.,['detailed'],"['process', 'dr', 'julio', 'voltarelli']","['voltarelli', 'process']",[],"['bone', 'marrow', 'transplant']",['bone marrow transplant']
22,Was bone marrow transplantation successful in treating type 1 diabetes?,management,Dr Voltarelli treated 23 patients that had been newly diagnosed with type 1 diabetes and followed the patients up at intervals. A follow up carried out in 2009 showed that 12 patients had been able to stay free of insulin injections for over 3 years and another 8 received only intermittent injections through a five year period.,dr voltarelli treated 23 patients that had been newly diagnosed with type 1 diabetes and followed the patients up at intervals.,[],"['dr', 'voltarelli', 'patients', 'type', 'diabetes', 'patients', 'intervals']","['voltarelli', 'dr', 'patients', 'type 1 diabetes', 'patients', 'intervals']",['successful'],"['bone', 'marrow', 'transplantation', 'type', 'diabetes']","['bone marrow transplantation', 'diabetes']"
23,What are the main causes for brittle diabetes?,cause,"Brittle diabetes has a number of potential causes. It can be caused by absorption problems in the intestines. This includes delayed stomach emptying drug interactions insulin absorption issues and malfunctioning hormones. Severely low blood sugar levels may also create thyroid and adrenal gland problems. Gastroperesis delayed stomach emptying can affect the rate at which food glucose and insulin is absorbed into the bloodstream. Brittle diabetes is often associated with psychological issues such as stress and depression.""",brittle diabetes has a number of potential causes.,"['brittle', 'potential']","['diabetes', 'number', 'causes']","['diabetes', 'number', 'causes']","['main', 'brittle']","['causes', 'diabetes']","['causes', 'diabetes']"
24,Is brittle diabetes different from stable diabetes?,informationanddefinition,"All people with diabetes will a certain level of blood glucose level fluctuation. However when these shifts are not extreme or over-frequent they do not impair the ability to lead a normal life. With brittle diabetes however the fluctuations are more serious and tend to result in frequent hospital visits interruption to employment and can often contribute to psychological issues such as stress.""",all people with diabetes will a certain level of blood glucose level fluctuation.,['certain'],"['people', 'diabetes', 'level', 'blood', 'glucose', 'level', 'fluctuation']","['people', 'diabetes', 'level', 'blood glucose level fluctuation']","['brittle', 'different', 'stable']","['diabetes', 'diabetes']","['diabetes', 'diabetes']"
25,What is the life expectancy with brittle diabetes?,informationanddefinition,"The life expectancy for someone with brittle diabetes is no different to someone who has type 1 or type 2 diabetes. In fact brittle diabetes can also be described poorly controlled type 2 diabetes.""",the life expectancy for someone with brittle diabetes is no different to someone who has type 1 or type 2 diabetes.,"['brittle', 'different']","['life', 'expectancy', 'someone', 'diabetes', 'someone', 'type', 'type', 'diabetes']","['life expectancy', 'someone', 'someone', 'diabetes', 'diabetes']",['brittle'],"['life', 'expectancy', 'diabetes']","['life expectancy', 'diabetes']"
26,Is brittle diabetes common?,informationanddefinition,"Brittle diabetes is rare but serious. Around 3 in 1 000 people with type 1 diabetes mellitus will develop brittle diabetes.""",brittle diabetes is rare but serious.,"['brittle', 'rare', 'serious']",['diabetes'],['diabetes'],"['brittle', 'common']",['diabetes'],['diabetes']
27,Will I get brittle diabetes?,informationanddefinition,"Those people suffering from psychological problems including stress and depression face a greater risk of developing brittle diabetes. This can be as simple as psychological problems causing neglect of diabetes care (such as stopping eating healthily taking medication or exercising regularly).Blood sugar control quickly becomes less regular and imbalances in the metabolism can exacerbate this.Furthermore psychological problems can then become worse causing a symbiotic cycle which reinforces brittle diabetes.Brittle diabetes is most likely to affect women who are overweight between the ages of 15 and 30. """,those people suffering from psychological problems including stress and depression face a greater risk of developing brittle diabetes.,"['psychological', 'greater', 'brittle']","['people', 'problems', 'stress', 'depression', 'risk', 'diabetes']","['people', 'depression', 'problems', 'stress', 'diabetes', 'risk']",['brittle'],['diabetes'],['diabetes']
28,How is brittle diabetes treated?,management,"The most effective treatment for brittle diabetes is to identify and correct underlying physical or psychological problems. Glucose instability is often able to be tracked using blood tests. Often treatment seeks to address behavioural psychological or environmental causes. This can be a lengthy and difficult process of treatment.Treatment may involve trying to lessen stress and psychotherapy has also proven to be effective in the treatment of brittle diabetes.""",the most effective treatment for brittle diabetes is to identify and correct underlying physical or psychological problems.,"['effective', 'brittle', 'physical', 'psychological']","['treatment', 'diabetes', 'problems']","['treatment', 'diabetes', 'problems']",['brittle'],['diabetes'],['diabetes']
29,Can People with Diabetes Give Blood?,informationanddefinition,"People who are on insulin therapy are not allowed to give blood when it comes to giving blood there are a number of conditions that can make you ineligible. Unfortunately people with diabetes won’t in most cases be eligible to give blood. At least not in the UK. This is because NHS Blood and Transplant (NHSBT) maintain a policy of refusing blood donations from anybody who may be placed at risk by giving blood. In many cases this includes people with diabetes.""",people who are on insulin therapy are not allowed to give blood when it comes to giving blood there are a number of conditions that can make you ineligible.,['ineligible'],"['people', 'insulin', 'therapy', 'blood', 'blood', 'number', 'conditions']","['people', 'conditions', 'insulin therapy', 'blood', 'blood', 'number']",[],"['People', 'Diabetes', 'Blood']","['People', 'Diabetes', 'Blood']"
30,What are the conditions for giving blood?,informationanddefinition,"There are a number of conditions that may prevent you from giving blood. Some of them although not always directly caused by diabetes can be related such as: Ulcers related to numbness (perhaps caused by diabetic neuropathy) or any other numbness-related heart condition. If you have had complicated dental work: over time prolonged exposure to high blood glucose levels can damage the teeth giving people with diabetes a heightened risk of needing complicated dental work such as a tooth extraction. If you have had a pancreatic tissue transplant you will not be eligible to give blood.""",there are a number of conditions that may prevent you from giving blood.,[],"['number', 'conditions', 'blood']","['conditions', 'number', 'blood']",[],"['conditions', 'blood']","['conditions', 'blood']"
31,How to care for Someone with Diabetes?,management,"Usually the youngest and eldest may need support with their diabetes. Not everyone with diabetes requires specific caring for but certain people notably the young and old may need help and support with managing their diabetes.""",usually the youngest and eldest may need support with their diabetes.,"['youngest', 'eldest']","['support', 'diabetes']","['eldest', 'support', 'diabetes']",[],"['Someone', 'Diabetes']","['Someone', 'Diabetes']"
32,How to care for a child with diabetes?,management,"Children with diabetes will usually have type 1 diabetes which requires regular insulin injections. It is important that injections are taken at the right time that the correct dose is given and the correct amount of carbohydrate is taken at appropriate times of day. The child’s parents will be able to advise on these matters. Note that some activities such as exercise may have an impact on blood sugar levels. Any prolonged period of activity will tend to lower blood sugar levels. Periods of illness or stress may raise blood sugar levels. It is therefore important to recognise any symptoms of high and low blood sugar levels. Some children may be comfortable managing their own diabetes however it is recommended to be aware of the symptoms of low and high sugar levels and to ensure that they do not miss a scheduled meal or dose. For more detailed information on looking after a child with diabetes see our section on diabetes and parenting.""",children with diabetes will usually have type 1 diabetes which requires regular insulin injections.,['regular'],"['children', 'diabetes', 'type', 'diabetes', 'insulin', 'injections']","['diabetes', 'children', 'diabetes', 'insulin injections']",[],"['child', 'diabetes']","['child', 'diabetes']"
33,How to care for a partner with diabetes?,management,"If your partner had diabetes it is well worth building an understanding of your partner’s condition. By understanding diabetes you can put yourself in a better position to offer appropriate support. Diabetes is a complicated and all encompassing illness and many people with diabetes will value the chance to share issues around their diabetes with their partners. Read more on caring for a partner with diabetes.""",if your partner had diabetes it is well worth building an understanding of your partner’s condition.,['worth'],"['partner', 'diabetes', 'understanding', 'partner', 'condition']","['partner', 'understanding', 'diabetes', 'partner', 'condition']",[],"['partner', 'diabetes']","['partner', 'diabetes']"
34,How to care for an elderly person with diabetes?,management,"Whilst some elderly people have exceptional diabetes control age can make some aspects of diabetes management more difficult. The presence of other conditions including neuropathy (nerve damage) retinopathy (retinal damage) arthritis or Alzheimer’s disease will likely require extra care and support to enable them to manage their diabetes. Elderly people may be less able to recognise high or low blood sugar symptoms and so it is important to be able to recognise these symptoms.""",whilst some elderly people have exceptional diabetes control age can make some aspects of diabetes management more difficult.,"['elderly', 'exceptional', 'difficult']","['people', 'diabetes', 'control', 'age', 'aspects', 'diabetes', 'management']","['people', 'diabetes control age', 'diabetes management', 'aspects']",['elderly'],"['person', 'diabetes']","['person', 'diabetes']"
35,What are the Causes of Type 1 Diabetes?,cause,"A multitude of causes of type 1 diabetes have been studied. Type 1 diabetes belongs to a group of conditions known as autoimmune diseases. Autoimmune diseases are when the body incorrectly identifies its own useful cells as an attacking organism. In type 1 diabetes it is the beta cells in the pancreas which produce insulin that are wrongfully targeted and killed off by specific antibodies created by the body’s immune system. Researchers have been investigating what may cause the immune system to act in this way but to date researchers have theories but no concrete proof.""",a multitude of causes of type 1 diabetes have been studied.,[],"['multitude', 'causes', 'type', 'diabetes']","['multitude', 'causes', 'type 1 diabetes']",[],"['Causes', 'Type', 'Diabetes']","['Causes', 'Type 1 Diabetes']"
36,What are type 1 diabetes triggers?,cause,"Researchers have hypothesised that whilst some people are have a genetic predisposition to type 1 diabetes there is likely to be an environmental factor that triggers the initial development of type 1 diabetes. Some of the possible triggers that have been suggested include: Viral infection. Vaccines. Low levels of vitamin D. Cow’s milk Increased insulin demand.""",researchers have hypothesised that whilst some people are have a genetic predisposition to type 1 diabetes there is likely to be an environmental factor that triggers the initial development of type 1 diabetes.,"['genetic', 'likely', 'environmental', 'initial']","['researchers', 'people', 'predisposition', 'diabetes', 'factor', 'development', 'type', 'diabetes']","['researchers', 'people', 'diabetes', 'predisposition', 'factor', 'development', 'type 1 diabetes']",[],"['type', 'diabetes', 'triggers']","['diabetes', 'triggers']"
