QUESTION,ID,ANSWER
Was bone marrow transplantation successful in treating type 1 diabetes?,22,Dr Voltarelli treated 23 patients that had been newly diagnosed with type 1 diabetes and followed the patients up at intervals. A follow up carried out in 2009 showed that 12 patients had been able to stay free of insulin injections for over 3 years and another 8 received only intermittent injections through a five year period.
How does brittle diabetes develop and what is it associated with?,23,"Brittle diabetes has a number of potential causes. It can be caused by absorption problems in the intestines. This includes delayed stomach emptying drug interactions insulin absorption issues and malfunctioning hormones. Severely low blood sugar levels may also create thyroid and adrenal gland problems. Gastroperesis delayed stomach emptying can affect the rate at which food glucose and insulin is absorbed into the bloodstream. Brittle diabetes is often associated with psychological issues such as stress and depression."""
Is brittle diabetes different from stable diabetes?,24,"All people with diabetes will a certain level of blood glucose level fluctuation. However when these shifts are not extreme or over-frequent they do not impair the ability to lead a normal life. With brittle diabetes however the fluctuations are more serious and tend to result in frequent hospital visits interruption to employment and can often contribute to psychological issues such as stress."""
What is the life expectancy with brittle diabetes?,25,"The life expectancy for someone with brittle diabetes is no different to someone who has type 1 or type 2 diabetes. In fact brittle diabetes can also be described poorly controlled type 2 diabetes."""
Is brittle diabetes common?,26,"Brittle diabetes is rare but serious. Around 3 in 1 000 people with type 1 diabetes mellitus will develop brittle diabetes."""
Will I get brittle diabetes?,27,"Those people suffering from psychological problems including stress and depression face a greater risk of developing brittle diabetes. This can be as simple as psychological problems causing neglect of diabetes care (such as stopping eating healthily taking medication or exercising regularly).Blood sugar control quickly becomes less regular and imbalances in the metabolism can exacerbate this.Furthermore psychological problems can then become worse causing a symbiotic cycle which reinforces brittle diabetes.Brittle diabetes is most likely to affect women who are overweight between the ages of 15 and 30. """
How is brittle diabetes treated?,28,"The most effective treatment for brittle diabetes is to identify and correct underlying physical or psychological problems. Glucose instability is often able to be tracked using blood tests. Often treatment seeks to address behavioural psychological or environmental causes. This can be a lengthy and difficult process of treatment.Treatment may involve trying to lessen stress and psychotherapy has also proven to be effective in the treatment of brittle diabetes."""
Can People with Diabetes Give Blood?,29,"People who are on insulin therapy are not allowed to give blood when it comes to giving blood there are a number of conditions that can make you ineligible. Unfortunately people with diabetes won’t in most cases be eligible to give blood. At least not in the UK. This is because NHS Blood and Transplant (NHSBT) maintain a policy of refusing blood donations from anybody who may be placed at risk by giving blood. In many cases this includes people with diabetes."""
What are the conditions for giving blood?,30,"There are a number of conditions that may prevent you from giving blood. Some of them although not always directly caused by diabetes can be related such as: Ulcers related to numbness (perhaps caused by diabetic neuropathy) or any other numbness-related heart condition. If you have had complicated dental work: over time prolonged exposure to high blood glucose levels can damage the teeth giving people with diabetes a heightened risk of needing complicated dental work such as a tooth extraction. If you have had a pancreatic tissue transplant you will not be eligible to give blood."""
How to care for Someone with Diabetes?,31,"Usually the youngest and eldest may need support with their diabetes. Not everyone with diabetes requires specific caring for but certain people notably the young and old may need help and support with managing their diabetes."""
How to care for a child with diabetes?,32,"Children with diabetes will usually have type 1 diabetes which requires regular insulin injections. It is important that injections are taken at the right time that the correct dose is given and the correct amount of carbohydrate is taken at appropriate times of day. The child’s parents will be able to advise on these matters. Note that some activities such as exercise may have an impact on blood sugar levels. Any prolonged period of activity will tend to lower blood sugar levels. Periods of illness or stress may raise blood sugar levels. It is therefore important to recognise any symptoms of high and low blood sugar levels. Some children may be comfortable managing their own diabetes however it is recommended to be aware of the symptoms of low and high sugar levels and to ensure that they do not miss a scheduled meal or dose. For more detailed information on looking after a child with diabetes see our section on diabetes and parenting."""
How to care for a partner with diabetes?,33,"If your partner had diabetes it is well worth building an understanding of your partner’s condition. By understanding diabetes you can put yourself in a better position to offer appropriate support. Diabetes is a complicated and all encompassing illness and many people with diabetes will value the chance to share issues around their diabetes with their partners. Read more on caring for a partner with diabetes."""
How to care for an elderly person with diabetes?,34,"Whilst some elderly people have exceptional diabetes control age can make some aspects of diabetes management more difficult. The presence of other conditions including neuropathy (nerve damage) retinopathy (retinal damage) arthritis or Alzheimer’s disease will likely require extra care and support to enable them to manage their diabetes. Elderly people may be less able to recognise high or low blood sugar symptoms and so it is important to be able to recognise these symptoms."""
What are the Causes of Type 1 Diabetes?,35,"A multitude of causes of type 1 diabetes have been studied. Type 1 diabetes belongs to a group of conditions known as autoimmune diseases. Autoimmune diseases are when the body incorrectly identifies its own useful cells as an attacking organism. In type 1 diabetes it is the beta cells in the pancreas which produce insulin that are wrongfully targeted and killed off by specific antibodies created by the body’s immune system. Researchers have been investigating what may cause the immune system to act in this way but to date researchers have theories but no concrete proof."""
What are type 1 diabetes triggers?,36,"Researchers have hypothesised that whilst some people are have a genetic predisposition to type 1 diabetes there is likely to be an environmental factor that triggers the initial development of type 1 diabetes. Some of the possible triggers that have been suggested include: Viral infection. Vaccines. Low levels of vitamin D. Cow’s milk Increased insulin demand."""
What are the causes of Type 2 Diabetes?,37,"There is no single cause of type 2 diabetes. It is difficult to be conclusive when identifying a cause for a long term condition such as type 2 diabetes when a number of contributing factors may be present. Key to the development of type 2 diabetes is the body’s inability to properly respond to insulin. Researchers from around the globe have studied data and carried out experiments to try to understand what may cause insulin resistance and type 2 diabetes to develop."""
what are risk factors for type 2 diabetes?,38,"There are a number risk factors that are closely linked to type 2 diabetes but research is yet to provide clear answers as to how much these factors may be a cause or otherwise an association. Type 2 diabetes risk factors include: Carrying too much excess body fat Having high blood pressure or cholesterol. Having a close family member with type 2 diabetes Having previously had gestational diabetes Read more about risk factors for type 2 diabetes"""
How is diabetes caused in children?,39,"The actual causes of the diabetic condition are little understood in both children and adults. It is widely speculated that diabetes occurred when inherited genetic characteristics are triggered by environmental factors such as diet or exercise. Many type 1 diabetic children do not have diabetes in their families however so the exact cause remains a mystery.Type 2 diabetes amongst children is usually caused by an extremely bad diet from a very young age coupled with a sedentary lifestyle without exercise."""
What symptoms do children with diabetes exhibit?,40,"Like adults a number of symptoms may give early warning that diabetes has developed.One or more of the following symptoms may be associated with diabetes:Thirst Tiredness Weight loss Frequent urination Amongst children specific symptoms may include stomach aches headaches and behavioural problems. Recurrent tummy pains and an unexplainable history of illness should be treated as possible heralds of diabetes."""
How are children with diabetes treated?,41,"After diagnosis a child will usually be referred to a regional diabetes specialist. Most children with diabetes are cared for by their hospital as opposed to their GP. Because type 1 typically means that the vast majority of islet cells have been destroyed and insufficient or zero insulin can be produced the only certain method of treating diabetes in children is insulin treatment. Usually a diabetes care team will plan an insulin regimen suited to individual requirements and habits of the child. Fast-acting insulin will generally be administered during the day and nocturnal levels will be controlled by a slow-acting dose. Insulin pumps are also common amongst children. Sometimes in the initial period following diagnosis small children will only need a very small dose of insulin but this will unfortunately change as they grow older and larger. Good glucose control is essential in the management of all diabetics’ conditions.Treating type 2 diabetes in children depends entirely on how far their condition has developed. At an early stage it may be possible to treat the condition with an abrupt lifestyle change incorporating a healthier diet and exercise. """
What can the parents of children with diabetes do?,42,"Keeping a strict eye on the blood glucose levels of your child avoiding lows and highs can be a large part of being a parent of a child with diabetes. Parents must be aware that children with diabetes have diet restrictions and that their activity levels need to be closely monitored. Initially and throughout the lifetime of the disease diabetes can be a serious strain. Patients and their families alike should know that support is available. Initially the procedure for management and treatment of the disease can seem very complicated. Understanding how the disease affects your child being adaptable and patient are essential to successfully managing diabetes. Some things to bear in mind include: You may have to deliver insulin injections at first and even if you do not need to then you should know how to. There are two major delivery sites above the abdomen and in the thigh but your healthcare team will elaborate. You should become familiar with the symptoms of low blood glucose and also diabetic ketoacidosis. As well as recognising these conditions you should know what to do if they occur. Monitor your child’s blood sugar levels and as soon as they are old enough teach them how to do this. Similarly as children become older they need to learn how to administer their own insulin injections. Make sure that people know your son or daughter is diabetic and that they also know what to do if the symptoms of low blood glucose manifest themselves.Ensure that glucose is always available."""
how to control Type 1 Diabetes?,43,"Type 1 diabetes can be controlled by simple tasks that can be established as a routine. Type 1 diabetes can be controlled by simple tasks that can be established as a routine in type 1 diabetes the body produces very little insulin and so we have to try our best to perform the job of our pancreas. The task is not an easy one and sometimes control can slip up away from the best of us. This article serves as a guide to help you get your control back on track."""
How to controlling Type 2 Diabetes?,44,"Type 2 diabetes can be tamed by monitoring blood glucose levels diet and exercise Type 2 diabetes can be managed by monitoring blood glucose levels diet and exercise With a bit of knowledge and dedication type 2 diabetes can be controlled.For those looking to get stuck into type 2 diabetes management we’ve compiled a guide to help you understand the condition and improve your health."""
How can blood glucose testing help?,45,"HbA1c gives a general big picture of how well controlled your sugar levels are while blood glucose testing can help fill in some of the detail. Target blood glucose levels for people with type 2 diabetes are: 4 to 7 mmol/l before meals and when fasting 4 to 8.5 mmol/l 2 hours following meals. Not everyone with type 2 diabetes is given blood glucose testing supplies on prescription. If your doctor is not willing to prescribe testing supplies you will need to consider whether to buy testing supplies. Whilst testing supplies are far from cheap they can often be very useful for those looking to get to grips with understanding how blood glucose levels vary following different meals."""
What can we learn from an HbA1c test?,46,"The target HbA1c value for people with type 2 diabetes is 6.5% or 48 mmol/mol.If you get an HbA1c result at this level or below you’re on the right track with your diabetes control. If your HbA1c result is above this target there is room for some improvement. You may need to incorporate a little more activity into your week make some changes to your diet or ask your doctor to prescribe a different form of medication.If there’s one criticism of HbA1c it’s that it doesn’t always make it easy to work out which individual changes are the most effective for lowering your blood sugar levels or which elements of your lifestyle are having a negative influence."""
What are type 2 medications?,47,"Type 2 diabetes medication can help blood glucose levels from rising too high. Some of us may be able to keep our blood glucose levels in the right range without needing medication but the majority of people with type 2 diabetes take some form of medication. Whilst most people tend to move onto stronger medication as they live longer with diabetes it is not hugely uncommon for some people with type 2 diabetes to move onto less strong medication or even come off medication if they are able to make significant improvements to their blood glucose levels."""
What are the cost of Diabetes?,48,"The cost of diabetes to the NHS is over £1.5m an hour or 10% of the NHS budget for England and Wales. This equates to over £25 000 being spent on diabetes every minute.In total an estimated £14 billion pounds is spent a year on treating diabetes and its complications with the cost of treating complications representing the much higher cost.The prevalence of diabetes is estimated to rise to 4 million by 2025."""
what are the cost of diabetes complications?,49,"A 2012 report from the London School of Economics estimates that the cost of prescribing medication for complications of diabetes is around 3 to 4 times the cost of prescribing diabetes medication. Medication for cardiovascular disease constitutes the largest proportion of prescriptions costs for people with diabetes. Annual inpatient care to treat short and long term complications of diabetes is estimated at between £1 800 and £2 500 per patient.This compares with annual outpatient costs which includes the cost of medications and monitoring supplies estimated at between £300 and £370 per patient."""
what are C-peptide Test?,50,C-peptide tests examine how much insulin your body produces. A C-peptide test is a blood test which is carried out to find out how much insulin your body is producing. This may be useful for determining whether you have type 1 or type 2 diabetes or whether you have insulin resistance.
What is C-peptide?,51,C-peptide is released at the same time as insulin. For each molecule of insulin produced there is a molecule of c-peptide. C-peptide does not itself influence blood sugar. C-peptide is a useful marker of insulin production because c-peptide tends to remain in the blood longer than insulin.
Why is a c-peptide test done?,52,"A c-peptide test can be performed for any of the following reasons: To distinguish whether you may have type 1 or type 2 diabetes To investigate whether you have insulin resistance To ascertain causes of hypoglycemia (low blood glucose levels) To monitor insulin production after the removal of a tumour of the pancreas (insulinoma)"""
How is the test performed?,53,"To measure level of c-peptide a fasting blood test is taken. You will be asked not to eat or drink (certain fluids) for 8 to 12 hours before the test. If you take blood glucose lowering medication you will likely be asked to stop taking these in the run up to the test. For the blood test itself a sample of blood will be taken from your arm and it shouldn’t take much more than a minute. Levels of c-peptide will be measured as well as the blood glucose level."""
what does C-peptide test results show?,54,"c-peptide test results are classed within 3 ranges/values. Normal range:The normal range for a c-peptide test is: 0.51 to 2.72 nanograms per millilitre (ng/mL) This may also be expressed as: 0.17-0.90 nanomoles per litre (nmol/L). The following information serves only as a guide. Your doctor should be able to advise you as to what the test results may indicate. Low test result values Low levels of c-peptide and high blood glucose levels could be an indicator of type 1 diabetes. Low levels of both c-peptide and blood glucose could indicate liver disease a severe infection or Addison’s disease. High test result values: High levels of c-peptide with a low level of blood glucose could be an indication of insulin resistance either type 2 diabetes or Cushing’s syndrome. High levels of c-peptide but low blood glucose levels may be a result of insulinoma (a tumour of the pancreas) unless glucose lowering medication has influenced the result."""
What is Critical Illness Cover?,55,"Critical illness cover is almost as it says in the name essentially it is an insurance policy that will pay out a lump sum upon diagnosis of an illness covered under the plan. Critical illnesses that are covered under each policy vary between insurance providers. Therefore you should always check the documentation and policy wording before selecting your policy to make sure that it is right for you."""
Why do I need Critical Illness Cover?,56,"A critical illness policy is designed to offer peace of mind and security for you and your loved ones should you become ill and possibly not able to work as a result of a critical illness or serious injury. The amount of cover is dependant on what you would want the cover for and can vary considerably based on your individual circumstances and needs. It can also be based on affordability and simply how much you are willing to pay for the cover. Some things to consider when applying for an amount of critical illness cover are: Paying your mortgage Monthly outgoings (i.e. utilities loans credit cards) Paying school fees Private medical treatment."""
Have Critical Illness products been available in the past?,57,"Historically there have only been a couple of providers to offer critical illness cover for people who have been diagnosed with diabetes. Since November 2011 there has been a sole insurance provider who offered a Critical Illness Cover product for people with diabetes."""
How does Critical Illness for Diabetes work?,58,"Generally you would only be able to obtain critical illness cover if the individual with diabetes has good control is a non-smoker and no complications such as: Retinopathy Neuropathy Raised BMI levels Cover is available for people with Type 1 or Type 2 Diabetes. Some providers will have standard exclusions on their policy which could be cardiovascular conditions and anything relating to the eyes."""
What does Critical Illness cost?,59,"The good news is that the cover is certainly more affordable and reasonably priced now than it has ever been in the past. There are a number of reasons for the general reduction in premiums and in ratings for diabetes such as: Better mortality data (people living longer and healthier lives) Greater competition Knowledge of the condition has developed The advance of medication for diabetes. It should be noted that critical illness cover is generally more expensive than life insurance for the simple reason that it is 6 times more likely that an individual will make a claim."""
What is cystic fibrosis?,60,"Cystic fibrosis is caused by a genetic mutation of the CFTR gene which causes the normal flow of salt and water through the body to be blocked. This results in the body producing unusually thick mucus which can cause problems in the body such as raising the risk of dangerous lung infections and preventing the pancreas from working properly to digest food. The symptoms of cystic fibrosis are usually spotted within the first year of a baby’s life and include: Particularly salty-tasting skin Persistent coughing Shortness of breath Frequent chest and lung infections Poor growth or weight gain.Cystic fibrosis affects digestion and so a high calorie diet is needed to maintain a healthy weight."""
what are the symptoms of diabetes in cystic fibrosis?,61,"The following symptoms of diabetes may be noticed in people with cystic fibrosis: Increased thirst Increased need to urinate Excessive tiredness Unexplained weight loss Unexplained decline in lung function."""
what are the diagnosis of diabetes in cystic fibrosis?,62,"It is important that a diagnosis of diabetes is not delayed to prevent deterioration of lung function. If you have the symptoms of diabetes contact your health team who will be able to arrange a diagnosis. An oral glucose tolerance test or continuous glucose monitoring may be used to diagnose CFRD."""
what are the causes of Cystic fibrosis?,63,"Cystic fibrosis can cause scarring of the pancreas which can affect the organ’s ability to produce insulin. Another contributing factor is insulin resistance which can also occur in people with cystic fibrosis. The impact of insulin resistance can be significantly increased whilst or as a result of taking corticosteroids to treat symptoms of cystic fibrosis."""
what are the treatment for Cystic fibrosis?,64,"Treatment for cystic fibrosis related diabetes should aim to address the issue of keeping blood glucose levels under control whilst enabling someone with CFRD to get sufficient nutrition to maintain a healthy weight.CFRD is usually treated with insulin. Insulin helps to keep blood glucose levels under control which can to prevent health complications related to diabetes developing and helps the body to get the energy needed to keep a healthy weight. Oral hypoglycemics (tablets) may be taken if there are sufficient difficulties in taking insulin. Regular blood glucose testing is an important part of the management of CFRD. Insulin requirements may be higher during times when corticosteroids are taken to manage the symptoms of cystic fibrosis. Management of diabetes in people with cystic fibrosis presents a different set of challenges to people with type 1 or type 2 diabetes and people with CFRD should be referred to a consultant with a specialism in managing patients with CFRD. The combination of diabetes with cystic fibrosis can be a challenge and psychological support can be an important part of managing the two conditions as well as accepting your diagnosis."""
Waht are symptoms of dehydration?,65,"The symptoms of dehydration include: Thirst Headache Dry mouth and dry eyes Dizziness Tiredness Dark yellow coloured urine."""
What are the causes and contributory factors of dehydration?,66,"The following factors can contribute to dehydration. Having more of these factors present at one time can raise the risk of dehydration: Insufficient fluid intake Hot weather Strenuous exercise High blood glucose levels Alcohol Diarrhoea Vomiting Diabetes insipidus."""
What are symptoms of severe dehydration?,67,"The symptoms of severe dehydration include:Low blood pressure Sunken eyes A weak pulse and/or rapid heartbeat Feeling confused Lethargy"""
How does LADA compare with other diabetes types?,68,"LADA is sometimes referred to as type 1.5 diabetes. This is not an official term but it does illustrate the fact that LADA is a form of type 1 diabetes that shares some characteristics with type 2 diabetes. As a form of type 1 diabetes LADA is an autoimmune disease in which the body’s immune system attacks and kills off insulin producing cells. The reasons why LADA can often be mistaken for type 2 diabetes is it develops over a longer period of time than type 1 diabetes in children or younger adults. Whereas type 1 diabetes in children tends to develop quickly sometimes within the space of days LADA develops more slowly sometimes over a period of years. The slower onset of diabetes symptoms being presented in people over 35 years may lead a GP to initially diagnose a case of LADA as type 2 diabetes."""
How common is LADA?,69,"According to the UK Prospective Diabetes Study found that antibodies specific to LADA cases are found in between 6% and 10% of diabetes cases. Amongst people diagnosed with diabetes at an age younger than 35 years old LADA may account for up to 25% of cases."""
How is LADA diagnosed?,70,"Often LADA will be initially diagnosed as diabetes by way of the usual diagnosis procedures. Following a diagnosis of diabetes your doctor or you may have reason to suspect that the type of diabetes present is LADA. Determining the presence of LADA is achieved by examining the presence of elevated levels of pancreatic autoantibodies amongst patients who have recently been diagnosed with diabetes but do not require insulin. A GAD Antibody test can measure the presence of these autoantibodies. These antibodies can identify LADA and also can predict the rate of progression towards insulin dependency. Another test that can be performed is a C-peptide test. However C-peptide tests may not always draw conclusive results in people with LADA at an earlier stage of the condition’s development."""
How is LADA treated?,71,"Because LADA develops slowly someone with LADA may be able to produce enough of their own insulin to keep sugar levels under control without needing insulin for a number of months or sometimes even years after the initial diagnosis of diabetes. Insulin will almost certainly be required at some point in the future. In some cases insulin therapy may be postponed. However there is evidence to suggest that starting insulin treatment soon after a diagnosis of LADA will help to better preserve the pancreas’ ability to produce insulin. Regular blood glucose testing is advised for people with LADA at a similar number of tests per day that are advised for people with type 1 diabetes. This means that it is advisable to test your blood sugar levels before each meal and before bed."""
What complications are related to LADA?,72,"Ketoacidosis is a short-term complication of LADA particularly once the pancreas has lost much of its ability to produce insulin. People with LADA should be aware of the signs of ketoacidosis and how to test for ketones if needed. The risks of long term complications of diabetes will be similar to the risks in people with type 1 and type 2 diabetes. The possible long term complications of diabetes include:Heart disease and stroke Retinopathy (retinal disease) Nephropathy (kidney disease) Neuropathy (nerve disease) Foot problems."""
