ID,ANSWER,AnswerAdjectives,AnswerEntities,AnswerNouns,Answerfirstsent,CLASS,QUESTION,QuestionsAdjectives,QuestionsEntities,QuestionsNouns
14,"The symptoms of autoimmune disease vary between types but the common indicators are fatigue fever general malaise (feeling ill) joint pain and skin rash. Symptoms worsen during flare-ups and reduce during remission. The common and most noticeable signs of type 1 diabetes are: Increased thirst (polydipsia) Frequent/increased urination (polyuria) Extreme tiredness (fatigue) Sudden or unexplained weight loss""","['autoimmune', 'common', 'general', 'ill', 'joint']","['symptoms', 'autoimmune disease', 'fatigue fever general malaise', 'types', 'indicators', 'joint pain', 'skin rash']","['symptoms', 'disease', 'types', 'indicators', 'fatigue', 'fever', 'malaise', 'pain', 'skin', 'rash']",the symptoms of autoimmune disease vary between types but the common indicators are fatigue fever general malaise (feeling ill) joint pain and skin rash.,manifestation,What are the symptoms of autoimmune diesease?,['autoimmune'],"['symptoms', 'autoimmune diesease']","['symptoms', 'diesease']"
15,Binge eating is recognised as an eating disorder in which people feel compelled to overeat and feel powerless to be able to control their eating pattern. Binge eating may result from psychological reasons but can also result from rises and falls in blood glucose levels from eating food with high carbohydrate content.,"['compelled', 'powerless', 'able']","['binge eating', 'people', 'eating disorder', 'eating pattern']","['binge', 'eating', 'eating', 'disorder', 'people', 'eating', 'pattern']",binge eating is recognised as an eating disorder in which people feel compelled to overeat and feel powerless to be able to control their eating pattern.,informationanddefinition,what is Binge Eating Disorders?,[],['Binge Eating Disorders'],"['Binge', 'Eating', 'Disorders']"
16,"If you eat large amounts of food in a short period of time without feeling you are able to control your eating this is a sign of binge eating. Compulsive eating such as constantly needing to snack on high calorie foods between meal times is also a sign of binge eating.""","['large', 'short', 'able']","['food', 'amounts', 'sign', 'binge eating', 'eating']","['amounts', 'food', 'period', 'time', 'eating', 'sign', 'binge', 'eating']",if you eat large amounts of food in a short period of time without feeling you are able to control your eating this is a sign of binge eating.,informationanddefinition,What counts as binge eating?,[],['binge eating'],"['binge', 'eating']"
17,"There are a number of psychological reasons which can trigger binge eating. The NHS state that around 50% of people that binge eat have had depression at some point in their life. Negative feelings including being stressed anxious sad helpless guilty or bored can cause people to eat as a conscious or unconscious way of momentarily blocking out the negative emotion. In some cases people may eat to amplify the negative feelings. Binge eating may also occur in people trying to lose weight through methods such as greatly restricted calorie content or missing meals which can lead to intense hunger and feeling a need to binge eat. It is common for binge eating to lead to other negative feelings such as guilt regret or further loss of control shortly after eating which can trigger a vicious circle of continued binge eating.""",['psychological'],"['reasons', 'number', 'binge eating']","['number', 'reasons', 'binge', 'eating']",there are a number of psychological reasons which can trigger binge eating.,cause,What can cause binge eating to take place?,[],"['binge eating', 'place']","['binge', 'eating', 'place']"
18,"It is not unusual to experience hunger soon after eating snacks or meals with particularly fast acting carbohydrate content. Typical examples of foods with quickly absorbed carbohydrate include: Sugary foods Potato based foods Refined carbohydrates such as white bread white pasta and white rice When we eat quickly absorbed sources of carbohydrate our blood glucose levels will initially rise rapidly and should trigger our pancreas to release insulin. This usually presents problems for people with diabetes. In type 2 diabetes the body doesn’t respond as well as it should to insulin and so it takes longer for the body to produce sufficient insulin to cope with the rise in blood sugar. People with type 1 diabetes will inject insulin to help the body cope with the increase in blood sugar levels but when we eat fast acting carbohydrate it can take more than 2 hours for enough insulin to be absorbed to adequately cope with the increase in blood glucose levels. When our blood sugar levels rise to high levels and we don’t have sufficient insulin in our blood to cope it can often cause us to feel both tired and hungry and can therefore make us crave more food which can lead to vicious circle forming. Another reason for feeling intense hunger after consuming too much quick acting carbohydrate is that once our insulin has caught up the insulin may bring our blood glucose levels too low which frequently triggers strong feelings of hunger.""",['unusual'],"['snacks', 'hunger', 'meals', 'carbohydrate content']","['hunger', 'snacks', 'meals', 'carbohydrate', 'content']",it is not unusual to experience hunger soon after eating snacks or meals with particularly fast acting carbohydrate content.,informationanddefinition,How can hunger follow after recently eating?,[],['hunger'],['hunger']
19,"As someone with diabetes you should avoid areas with poor circulation such as: Ankles Shins Buttocks Or your favoured areas for insulin injection/shots. You should also choose a licensed or accredited body piercer to carry out the work and let them know about your condition so that they can tailor the procedure and aftercare tips to your needs.""","['poor', 'such', 'favoured']","['someone', 'diabetes', 'areas', 'circulation', 'buttocks', 'ankles', 'insulin injection', 'shots', 'areas']","['someone', 'diabetes', 'areas', 'circulation', 'ankles', 'shins', 'buttocks', 'areas', 'insulin', 'injection', 'shots']",as someone with diabetes you should avoid areas with poor circulation such as: ankles shins buttocks or your favoured areas for insulin injection/shots.,informationanddefinition,Are there any body parts I shouldn’t get pierced?,[],['body parts'],"['body', 'parts']"
20,"Type 1 diabetes results from the body’s immune system targeting and killing its own beta cells which produce insulin in the pancreas.Even if people receive islet cell transplants their immune system will still try to kill off the transplanted cells so transplant recipients need to take immunosuppressive drugs to prevent or delay their transplanted cells being destroyed.Bone marrow transplantation is an attempt to reset the body’s immune system to no longer attack the pancreas’s insulin producing cells.""","['immune', 'own', 'immune', 'immunosuppressive', 'immune']","['body', 'immune system', 'type 1 diabetes results', 'beta cells', 'insulin', 'people', 'transplant recipients', 'cells', 'immune system', 'islet cell transplants', 'drugs', 'pancreas.', 'cells.', 'attempt', 'system', 'body', 'insulin', 'pancreas', 'cells', 'bone marrow transplantation']","['type', 'diabetes', 'results', 'body', 'system', 'beta', 'cells', 'insulin', 'pancreas.', 'people', 'islet', 'cell', 'transplants', 'system', 'cells', 'transplant', 'recipients', 'drugs', 'cells', 'bone', 'marrow', 'transplantation', 'attempt', 'body', 'system', 'pancreas', 'insulin', 'cells.']","type 1 diabetes results from the body’s immune system targeting and killing its own beta cells which produce insulin in the pancreas.even if people receive islet cell transplants their immune system will still try to kill off the transplanted cells so transplant recipients need to take immunosuppressive drugs to prevent or delay their transplanted cells being destroyed.bone marrow transplantation is an attempt to reset the body’s immune system to no longer attack the pancreas’s insulin producing cells.""",management,How could bone marrow transplants treat type 1 diabetes?,[],"['bone marrow transplants', 'type 1 diabetes']","['bone', 'marrow', 'transplants', 'type', 'diabetes']"
21,"The process detailed follows that used by Dr Julio Voltarelli. The first stage was to remove a sample of stem cells from the patient’s existing bone marrow. The next stage involved the patients receiving a high dosage of immunosuppressive drugs to destroy the immune system in the body. With no immune system to defend the body patients were kept in isolation away from sources of infection. The bone marrow stem cells were then transplanted back within the bone marrow.""",['detailed'],"['voltarelli', 'process']","['process', 'dr', 'julio', 'voltarelli']",the process detailed follows that used by dr julio voltarelli.,informationanddefinition,How is a bone marrow transplant carried out?,[],['bone marrow transplant'],"['bone', 'marrow', 'transplant']"
22,Dr Voltarelli treated 23 patients that had been newly diagnosed with type 1 diabetes and followed the patients up at intervals. A follow up carried out in 2009 showed that 12 patients had been able to stay free of insulin injections for over 3 years and another 8 received only intermittent injections through a five year period.,[],"['voltarelli', 'dr', 'patients', 'type 1 diabetes', 'patients', 'intervals']","['dr', 'voltarelli', 'patients', 'type', 'diabetes', 'patients', 'intervals']",dr voltarelli treated 23 patients that had been newly diagnosed with type 1 diabetes and followed the patients up at intervals.,management,Was bone marrow transplantation successful in treating type 1 diabetes?,['successful'],"['bone marrow transplantation', 'diabetes']","['bone', 'marrow', 'transplantation', 'type', 'diabetes']"
23,"Brittle diabetes has a number of potential causes. It can be caused by absorption problems in the intestines. This includes delayed stomach emptying drug interactions insulin absorption issues and malfunctioning hormones. Severely low blood sugar levels may also create thyroid and adrenal gland problems. Gastroperesis delayed stomach emptying can affect the rate at which food glucose and insulin is absorbed into the bloodstream. Brittle diabetes is often associated with psychological issues such as stress and depression.""","['brittle', 'potential']","['diabetes', 'number', 'causes']","['diabetes', 'number', 'causes']",brittle diabetes has a number of potential causes.,cause,What are the main causes for brittle diabetes?,"['main', 'brittle']","['causes', 'diabetes']","['causes', 'diabetes']"
24,"All people with diabetes will a certain level of blood glucose level fluctuation. However when these shifts are not extreme or over-frequent they do not impair the ability to lead a normal life. With brittle diabetes however the fluctuations are more serious and tend to result in frequent hospital visits interruption to employment and can often contribute to psychological issues such as stress.""",['certain'],"['people', 'diabetes', 'level', 'blood glucose level fluctuation']","['people', 'diabetes', 'level', 'blood', 'glucose', 'level', 'fluctuation']",all people with diabetes will a certain level of blood glucose level fluctuation.,informationanddefinition,Is brittle diabetes different from stable diabetes?,"['brittle', 'different', 'stable']","['diabetes', 'diabetes']","['diabetes', 'diabetes']"
25,"The life expectancy for someone with brittle diabetes is no different to someone who has type 1 or type 2 diabetes. In fact brittle diabetes can also be described poorly controlled type 2 diabetes.""","['brittle', 'different']","['life expectancy', 'someone', 'someone', 'diabetes', 'diabetes']","['life', 'expectancy', 'someone', 'diabetes', 'someone', 'type', 'type', 'diabetes']",the life expectancy for someone with brittle diabetes is no different to someone who has type 1 or type 2 diabetes.,informationanddefinition,What is the life expectancy with brittle diabetes?,['brittle'],"['life expectancy', 'diabetes']","['life', 'expectancy', 'diabetes']"
26,"Brittle diabetes is rare but serious. Around 3 in 1 000 people with type 1 diabetes mellitus will develop brittle diabetes.""","['brittle', 'rare', 'serious']",['diabetes'],['diabetes'],brittle diabetes is rare but serious.,informationanddefinition,Is brittle diabetes common?,"['brittle', 'common']",['diabetes'],['diabetes']
27,"Those people suffering from psychological problems including stress and depression face a greater risk of developing brittle diabetes. This can be as simple as psychological problems causing neglect of diabetes care (such as stopping eating healthily taking medication or exercising regularly).Blood sugar control quickly becomes less regular and imbalances in the metabolism can exacerbate this.Furthermore psychological problems can then become worse causing a symbiotic cycle which reinforces brittle diabetes.Brittle diabetes is most likely to affect women who are overweight between the ages of 15 and 30. ""","['psychological', 'greater', 'brittle']","['people', 'depression', 'problems', 'stress', 'diabetes', 'risk']","['people', 'problems', 'stress', 'depression', 'risk', 'diabetes']",those people suffering from psychological problems including stress and depression face a greater risk of developing brittle diabetes.,informationanddefinition,Will I get brittle diabetes?,['brittle'],['diabetes'],['diabetes']
28,"The most effective treatment for brittle diabetes is to identify and correct underlying physical or psychological problems. Glucose instability is often able to be tracked using blood tests. Often treatment seeks to address behavioural psychological or environmental causes. This can be a lengthy and difficult process of treatment.Treatment may involve trying to lessen stress and psychotherapy has also proven to be effective in the treatment of brittle diabetes.""","['effective', 'brittle', 'physical', 'psychological']","['treatment', 'diabetes', 'problems']","['treatment', 'diabetes', 'problems']",the most effective treatment for brittle diabetes is to identify and correct underlying physical or psychological problems.,management,How is brittle diabetes treated?,['brittle'],['diabetes'],['diabetes']
29,"People who are on insulin therapy are not allowed to give blood when it comes to giving blood there are a number of conditions that can make you ineligible. Unfortunately people with diabetes won’t in most cases be eligible to give blood. At least not in the UK. This is because NHS Blood and Transplant (NHSBT) maintain a policy of refusing blood donations from anybody who may be placed at risk by giving blood. In many cases this includes people with diabetes.""",['ineligible'],"['people', 'conditions', 'insulin therapy', 'blood', 'blood', 'number']","['people', 'insulin', 'therapy', 'blood', 'blood', 'number', 'conditions']",people who are on insulin therapy are not allowed to give blood when it comes to giving blood there are a number of conditions that can make you ineligible.,informationanddefinition,Can People with Diabetes Give Blood?,[],"['People', 'Diabetes', 'Blood']","['People', 'Diabetes', 'Blood']"
30,"There are a number of conditions that may prevent you from giving blood. Some of them although not always directly caused by diabetes can be related such as: Ulcers related to numbness (perhaps caused by diabetic neuropathy) or any other numbness-related heart condition. If you have had complicated dental work: over time prolonged exposure to high blood glucose levels can damage the teeth giving people with diabetes a heightened risk of needing complicated dental work such as a tooth extraction. If you have had a pancreatic tissue transplant you will not be eligible to give blood.""",[],"['conditions', 'number', 'blood']","['number', 'conditions', 'blood']",there are a number of conditions that may prevent you from giving blood.,informationanddefinition,What are the conditions for giving blood?,[],"['conditions', 'blood']","['conditions', 'blood']"
31,"Usually the youngest and eldest may need support with their diabetes. Not everyone with diabetes requires specific caring for but certain people notably the young and old may need help and support with managing their diabetes.""","['youngest', 'eldest']","['eldest', 'support', 'diabetes']","['support', 'diabetes']",usually the youngest and eldest may need support with their diabetes.,management,How to care for Someone with Diabetes?,[],"['Someone', 'Diabetes']","['Someone', 'Diabetes']"
32,"Children with diabetes will usually have type 1 diabetes which requires regular insulin injections. It is important that injections are taken at the right time that the correct dose is given and the correct amount of carbohydrate is taken at appropriate times of day. The child’s parents will be able to advise on these matters. Note that some activities such as exercise may have an impact on blood sugar levels. Any prolonged period of activity will tend to lower blood sugar levels. Periods of illness or stress may raise blood sugar levels. It is therefore important to recognise any symptoms of high and low blood sugar levels. Some children may be comfortable managing their own diabetes however it is recommended to be aware of the symptoms of low and high sugar levels and to ensure that they do not miss a scheduled meal or dose. For more detailed information on looking after a child with diabetes see our section on diabetes and parenting.""",['regular'],"['diabetes', 'children', 'diabetes', 'insulin injections']","['children', 'diabetes', 'type', 'diabetes', 'insulin', 'injections']",children with diabetes will usually have type 1 diabetes which requires regular insulin injections.,management,How to care for a child with diabetes?,[],"['child', 'diabetes']","['child', 'diabetes']"
33,"If your partner had diabetes it is well worth building an understanding of your partner’s condition. By understanding diabetes you can put yourself in a better position to offer appropriate support. Diabetes is a complicated and all encompassing illness and many people with diabetes will value the chance to share issues around their diabetes with their partners. Read more on caring for a partner with diabetes.""",['worth'],"['partner', 'understanding', 'diabetes', 'partner', 'condition']","['partner', 'diabetes', 'understanding', 'partner', 'condition']",if your partner had diabetes it is well worth building an understanding of your partner’s condition.,management,How to care for a partner with diabetes?,[],"['partner', 'diabetes']","['partner', 'diabetes']"
34,"Whilst some elderly people have exceptional diabetes control age can make some aspects of diabetes management more difficult. The presence of other conditions including neuropathy (nerve damage) retinopathy (retinal damage) arthritis or Alzheimer’s disease will likely require extra care and support to enable them to manage their diabetes. Elderly people may be less able to recognise high or low blood sugar symptoms and so it is important to be able to recognise these symptoms.""","['elderly', 'exceptional', 'difficult']","['people', 'diabetes control age', 'diabetes management', 'aspects']","['people', 'diabetes', 'control', 'age', 'aspects', 'diabetes', 'management']",whilst some elderly people have exceptional diabetes control age can make some aspects of diabetes management more difficult.,management,How to care for an elderly person with diabetes?,['elderly'],"['person', 'diabetes']","['person', 'diabetes']"
35,"A multitude of causes of type 1 diabetes have been studied. Type 1 diabetes belongs to a group of conditions known as autoimmune diseases. Autoimmune diseases are when the body incorrectly identifies its own useful cells as an attacking organism. In type 1 diabetes it is the beta cells in the pancreas which produce insulin that are wrongfully targeted and killed off by specific antibodies created by the body’s immune system. Researchers have been investigating what may cause the immune system to act in this way but to date researchers have theories but no concrete proof.""",[],"['multitude', 'causes', 'type 1 diabetes']","['multitude', 'causes', 'type', 'diabetes']",a multitude of causes of type 1 diabetes have been studied.,cause,What are the Causes of Type 1 Diabetes?,[],"['Causes', 'Type 1 Diabetes']","['Causes', 'Type', 'Diabetes']"
36,"Researchers have hypothesised that whilst some people are have a genetic predisposition to type 1 diabetes there is likely to be an environmental factor that triggers the initial development of type 1 diabetes. Some of the possible triggers that have been suggested include: Viral infection. Vaccines. Low levels of vitamin D. Cow’s milk Increased insulin demand.""","['genetic', 'likely', 'environmental', 'initial']","['researchers', 'people', 'diabetes', 'predisposition', 'factor', 'development', 'type 1 diabetes']","['researchers', 'people', 'predisposition', 'diabetes', 'factor', 'development', 'type', 'diabetes']",researchers have hypothesised that whilst some people are have a genetic predisposition to type 1 diabetes there is likely to be an environmental factor that triggers the initial development of type 1 diabetes.,cause,What are type 1 diabetes triggers?,[],"['diabetes', 'triggers']","['type', 'diabetes', 'triggers']"
