ID,QUESTION,Class
240,What can I have for breakfast that doesn’t involve bacon?,informationanddefinition
241,What can I have for breakfast that doesn’t involve dairy?,informationanddefinition
242,What can I have for breakfast?,informationanddefinition
243,Is low carb making me tired?,informationanddefinition
244,Is this program just for people with diabetes?,informationanddefinition
245,Can I eat Potato?,informationanddefinition
246,Can I eat sweet potato?,informationanddefinition
247,Can I eat cassava?,informationanddefinition
248,Can I eat yam?,informationanddefinition
249,Can I eat yuca?,informationanddefinition
250,Can I eat Chinese yam?,informationanddefinition
251,Can I eat crisps?,informationanddefinition
252,Can I eat cake?,informationanddefinition
253,Are there any low carb cakes?,informationanddefinition
254,Can I eat biscuits,informationanddefinition
255,Are there any low carb biscuits?,informationanddefinition
256,Can I eat cheesecake?,informationanddefinition
257,Are there any low carb cheesecake recipes?,informationanddefinition
258,Can I eat carrot cake?,informationanddefinition
259,Are there any low carb carrot cake recipes?,informationanddefinition
260,Can I eat cookies?,informationanddefinition
261,Are there any low carb cookies?,informationanddefinition
262,How do I add my blood sugar/glucose levels on the app?,informationanddefinition
263,Can I eat chicken nuggets?,informationanddefinition
264,Can I eat chocolate?,informationanddefinition
265,Which dark chocolate brands are good for low carb?,informationanddefinition
266,What coffee can I order from Starbucks?,informationanddefinition
267,How do I make a healthy habit stick?,informationanddefinition
268,Is raw sugar better than table sugar?,informationanddefinition
269,What is protein?,informationanddefinition
270,How much protein should I eat per day?,informationanddefinition
271,Will eating fat make me fat?,informationanddefinition
272,Can I drink beer?,informationanddefinition
273,Should I take a multivitamin?,informationanddefinition
274,Will sleep impact my blood sugar or weight?,informationanddefinition
275,Can I eat cereal?,informationanddefinition
276,Can I Cook with flour?,informationanddefinition
277,Can I eat pasta?,informationanddefinition
278,Can I eat whole wheat pasta?,informationanddefinition
279,Can I eat whole wheat flour?,informationanddefinition
280,Can I eat rice?,informationanddefinition
281,Can I eat brown whole grain rice?,informationanddefinition
282,Can I eat crackers?,informationanddefinition
283,Can I eat rice cakes?,informationanddefinition
284,Can I eat rye crackers,informationanddefinition
285,Can I eat margarine?,informationanddefinition
286,What is the glycaemic index? ,informationanddefinition
287,Should I follow a low glycaemic index diet?,informationanddefinition
288,Should I eat any foods for brain health?,informationanddefinition
289,Can I eat blueberries?,informationanddefinition
290,Can I eat eggs?,informationanddefinition
291,Can I eat avocado?,informationanddefinition
292,Will low carb help my libido?,management
293,Can food increase my testosterone levels,informationanddefinition
294,What is testosterone?,informationanddefinition
295,Is it safe for a child to be on a low carb diet?,informationanddefinition
296,What are statins?,informationanddefinition
297,"I've been prescribed statins, should I take them?",informationanddefinition
298,Can I exercise intensely on a low carb diet,informationanddefinition
299,Is low carb just for people with type 2?,informationanddefinition
300,Can I use sweeteners?,informationanddefinition
301,Will low carb help to lower my sodium levels? ,management
302,Can low carb cause depression?,cause
303,Will low carb help my epilepsy?,management
304,Will eating low carb cause nutrient deficiencies?,cause
305,What are trans fats?,informationanddefinition
306,What do I do first on the program?,informationanddefinition
307,Should I sugar detox?,informationanddefinition
308,Does low carb cause thyroid problem?,cause
309,Do I need to eat carbs before exercise?,informationanddefinition
310,What does no refined sugar mean?,informationanddefinition
311,Does food with no refined sugar have any sugar in?,informationanddefinition
312,Is unrefined sugar healthy?,informationanddefinition
313,Can I drink alcohol?,informationanddefinition
314,Can I drink wine?,informationanddefinition
315,Can I drink cocktails?,informationanddefinition
316,Will low carb reduce hunger and cravings?,informationanddefinition
317,Is grass fed meat and dairy better?,informationanddefinition
318,What is Omega 3?,informationanddefinition
319,Should I eat more Omega 6?,informationanddefinition
320,Do saturated fats cause heart disease?,cause
321,Which foods contain saturated fats?,informationanddefinition
322,Which foods contain monounsaturated fat?,informationanddefinition
323,Which foods contain poly-unsaturated fats?,informationanddefinition
324,How do I get more vitamin C on low carb?,informationanddefinition
325,Does eating fat increase cholesterol levels?,informationanddefinition
326,Is fat essential?,informationanddefinition
327,Can I go low carb as a vegetarian?,informationanddefinition
328,Can I go low carb as a vegan?,informationanddefinition
329,Is a plant based diet safe whilst eating low carb?,informationanddefinition
330,Can I eat Pecans on a low carb diet?,informationanddefinition
331,Can I eat macadamia nuts?,informationanddefinition
332,Can I eat pine nuts?,informationanddefinition
333,Can I eat Brazil nuts?,informationanddefinition
334,Can I eat peanuts?,informationanddefinition
335,Can I eat cashews?,informationanddefinition
336,Can I eat pistachios?,informationanddefinition
337,What are medium-chain triglycerides? (MCT’s),informationanddefinition
338,Should I take medium chain triglycerides?,informationanddefinition
339,How do I get more vitamin D whilst on low carb?,informationanddefinition
340,Can I drink beer?,informationanddefinition
341,Is low carb good for your teeth?,informationanddefinition
342,Can low carb help Alzheimer’s? ,management
343,Can I drink milk?,informationanddefinition
344,Can I drink Almond milk?,informationanddefinition
345,Can I swap milk for cream in coffee?,informationanddefinition
346,Can I drink hemp milk?,informationanddefinition
347,Can I drink rice milk?,informationanddefinition
348,Can I drink oat milk?,informationanddefinition
349,Can I drink cashew milk?,informationanddefinition
350,Can I drink coconut milk?,informationanddefinition
351,Can I eat tomato soup?,informationanddefinition
352,Can low carb help my polycystic ovarian syndrome (PCOS)?,management
353,What is Polycystic ovarian syndrome(PCOS)?,informationanddefinition
354,Can I eat canned soups?,informationanddefinition
355,Can I eat fried chicken?,informationanddefinition
356,Can I eat burgers?,informationanddefinition
357,Can I eat Jam?,informationanddefinition
358,Can I eat pizza?,informationanddefinition
359,Can I eat popcorn?,informationanddefinition
360,Can I eat at Subway?,informationanddefinition
361,Can I eat at Burger King?,informationanddefinition
362,Can I eat McDonalds?,informationanddefinition
363,Can I eat KFC?,informationanddefinition
364,Can I eat Nando’s?,informationanddefinition
365,Can I eat at a pub?,informationanddefinition
366,Can I eat dried fruit?,informationanddefinition
367,Can I eat granola bars?,informationanddefinition
368,Can I eat breakfast bars?,informationanddefinition
369,Can I eat Nature Valley bars?,informationanddefinition
370,Can I eat Cereal bars?,informationanddefinition
371,Can I eat flapjacks?,informationanddefinition
372,Can I eat muesli bars?,informationanddefinition
373,Can I eat ketchup?,informationanddefinition
374,Can I eat sweet chilli sauce?,informationanddefinition
375,Can I eat brown sauce?,informationanddefinition
376,Can I eat mayonnaise?,informationanddefinition
377,Can I eat pasta sauce?,informationanddefinition
378,Can I eat BBQ sauce?,informationanddefinition
379,Can I eat hot sauce?,informationanddefinition
380,Can I eat Gravy?,informationanddefinition
381,Can I eat Sriracha sauce?,informationanddefinition
382,Can I eat Tabasco sauce?,informationanddefinition
383,Can I eat chilli sauce?,informationanddefinition
384,Can I eat gummy vitamins?,informationanddefinition
385,Can I eat salad dressing?,informationanddefinition
386,Can I eat yoghurt?,informationanddefinition
387,Can I make smoothies?,informationanddefinition
388,Can I eat corned beef?,informationanddefinition
389,Are there any low carb pasta alternatives?,informationanddefinition
390,Can I follow this program to lose weight?,informationanddefinition
391,Which vegetables should I eat?,informationanddefinition
392,which foods contain healthy fats?,informationanddefinition
393,Which vegetables should I avoid?,management
394,Which foods should I avoid?,management
395,Are there any good books on low carb?,informationanddefinition
396,Any low carb snack ideas?,informationanddefinition
397,What low carb sweet treats are there?,management
398,What’s the max carbs I can eat per day?,informationanddefinition
399,What’s the minimum amount of carbs I should eat per day?,informationanddefinition
400,Will Low carb help my Non-Alcoholic Fatty Liver disease?,management
401,What are the target blood glucose levels?,informationanddefinition
402,Will the low carb program work for type 1?,informationanddefinition
403,Why haven’t I lost any weight yet?,informationanddefinition
404,Will low carb help lower my blood pressure?,management
405,Is low carb high in salt?,informationanddefinition
406,Is high blood pressure dangerous?,informationanddefinition
407,What blood pressure numbers are healthy?,informationanddefinition
408,Are there any low carb rice substitutes?,informationanddefinition
409,"I’m lactose intolerant,  can I follow the Low Carb Program?",informationanddefinition
410,Can I use stevia?,informationanddefinition
411,Can I use erythritol?,informationanddefinition
412,Can I cook with Splenda?,informationanddefinition
413,Can I use aspartame to cook with?,informationanddefinition
414,Can I cook with saccharin?,informationanddefinition
415,Can I cook with sucralose?,informationanddefinition
416,Can I cook with nutrinova?,informationanddefinition
417,Will a low carb diet help my nephropathy?,management
418,Will a low carb diet help my neuropathy?,management
419,Will a low carb diet help my Peripheral neuropathy?,management
420,Will a low carb diet help my autonomic neuropathy?,management
421,What is neuropathy?,informationanddefinition
422,What is retinopathy?,informationanddefinition
423,What is background retinopathy?,informationanddefinition
424,What is Proliferative retinopathy?,informationanddefinition
425,What is diabetic maculopathy?,informationanddefinition
426,Can I eat Honey?,informationanddefinition
427,What is the target HbA1c for people on the programming? ,informationanddefinition
428,what are the Causes of insulin resistance?,cause
429,what are the causes of insulinoma,cause
430,what are the causes of nocturnal hypoglycemia?,cause
431,What causes impaired fasting glycemia?,cause
432,What are the causes of Norovirus?,cause
433,what are the causes of impaired glucose tolerance?,cause
434,"what are the causes of Gestational Diabetes
",cause
435,"what are the causes of hemochromatosis?
",cause
436,what are the causes of hypo unawareness?,cause
437,How is high blood pressure caused?,cause
438,How is hyperinsulinemia caused?,cause
439,How is glucagonoma caused?,cause
440,What are the causes of impotence?,cause
441,what is the risk factors for gestational diabetes,cause
442,what is the relation between gestational diabetes and type 2 diabetes?,complications
443,What is the link between diabetes and impotence?,complications
444,What are the risk factors of glucagonoma?,complications
445,What else does impaired glucose tolerance leave you at risk of?,complications
446,"Which drugs can induce diabetes?
",complications
447,How will flu affect my blood sugar?,complications
448,what are some conditions which can lead to diabetes?,complications
449,what are the conditions linked with type 2 diabetes?,complications
450,what are the conditions linked with type 1 diabetes?,complications
451,How is insulinoma related to diabetes?,complications
452,What are the risks of having hyperinsulinemia?,complications
453,what are the long term effects of diabetes on the body?,complications
454,what are the effect of diabetes on the heart?,complications
455,what are the relation between Diabetes and strokes?,complications
456,How diabetes affects the eyes,complications
457,what are the Effect of diabetes on the kidneys?,complications
458,what are the Effect of diabetes on the nerves?,complications
459,what are the Effect of diabetes on digestion?,complications
460,what are some neonatal diabetes Complications?,complications
461,How diabetes affects the skin?,complications
462,What is the link between Waist Size Risk and Diabetes?,complications
463,what are the risk factors for Diabetes Mellitus?,complications
464,how is HbA1c testing used in diagnosing diabetes?,diagnosis
465,How is HbA1c tested?,diagnosis
466,how to test for diabetes?,diagnosis
467,how to diagnosis of insulinoma?,diagnosis
468,How is impaired fasting glycemia diagnosed?,diagnosis
469,How is high blood pressure diagnosed?,diagnosis
470,how to diagnose of hemochromatosis?,diagnosis
471,What tests are used to diagnose high blood pressure?,diagnosis
472,hot to diagnose low testosterone?,diagnosis
473,how to diagnoseneonatal diabetes?,diagnosis
474,What defines having impaired glucose tolerance?,diagnosis
475,how to test for Glucose intolerance?,diagnosis
476,how to test for glucagonoma?,diagnosis
477,how to diagnose Juvenile Diabetes and its epidemiology?,diagnosis
478,how is impaired glucose tolerance diagnosed?,diagnosis
479,What will the GAD test results show?,diagnosis
480,How is diabetes insipidus diagnosed?,diagnosis
481,what are the treatment for glucagonoma?,management
482,how to cope with a hypoglycemia in front of your children?,management
483,how to manage drug induced diabetes?,management
484,How can I lower blood pressure whilst managing my diabetes?,management
485,How can impotence be treated?,management
486,What are some Herbal and Natural Therapies for diabetes?,management
487,What is an intensive diabetes treatment therapy?,management
488,How is impaired fasting glycemia treated?,management
489,How is impaired glucose tolerance treated?,management
490,how to improving your hypo awareness?,management
491,how to treat neonatal diabetes?,management
492,how to treating night time hypos?,management
493,how to prevent night time hypoglycemia?,management
494,what are nephrogenic diabetes insipidus treatments?,management
495,how to treat diabetes insipidus?,management
496,How to use desmopressin for treating neurogenic diabetes insipidus?,management
497,how to treatment of insulinoma,management
498,what are the treatment for glucose intolerance?,management
499,what are the treatment of low testosterone?,management
500,how to Manage Your Child’s Diabetes?,management
501,How is Norovirus treated?,management
502,How can I better manage menopause and diabetes?,management
503,how to Preventing dehydration,management
504,How is diabetes controlled?,management
505,How do the dogs help to treat a hypo?,management
506,How is hyperinsulinemia treated?,management
507,how to treating a hypo and beating the hunger?,management
508,what are the treatment of hemochromatosis?,management
509,what are some symptoms of diabetes specific to men,manifestation
510,"What are the symptoms of diabetes that are specific to women?
",manifestation
511,What are the symptoms of diabetes?,manifestation
512,What are the symptoms of hypoglycemia?,manifestation
513,What are the symptoms of diabetes insipidus?,manifestation
514,What conditions are denoted by glucose intolerance?,manifestation
515,what is the Symptoms of glucose intolerance?,manifestation
516,what are the symptoms of Hemochromatosis?,manifestation
517,what are High and Low Blood Pressure Symptoms?,manifestation
518,What are the symptoms of high blood pressure?,manifestation
519,What are the symptoms of low blood pressure?,manifestation
520,what are the symptoms of high blood sugar?,manifestation
521,what are the symptoms of low blood sugar?,manifestation
522,What are the symptoms of hyperinsulinemia?,manifestation
523,what are the symptoms of hypoglycemia at work?,manifestation
524,What are the symptoms of impaired fasting glycemia?,manifestation
525,What are the symptoms of impaired glucose tolerance?,manifestation
526,What are the symptoms of insulinoma?,manifestation
527,What are the symptoms of insulin resistance?,manifestation
528,what are the Symptoms of low testosterone?,manifestation
529,what are neonatal diabetes Symptoms?,manifestation
530,what are the symptoms of night time hypoglycemia?,manifestation
531,what are the symptoms of Norovirus?,manifestation
